Datum,Team,Mitarbeiter,Personalnummer,Schichttyp,Schichtname
2026-03-01,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-01,Team 1,Peter Weber,PN003,F,Frühschicht
2026-03-01,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-03-01,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-01,Team 3,Maria Lange,PN015,S,Spätschicht
2026-03-01,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-01,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-02,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-02,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-02,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-02,Team 1,Peter Weber,PN003,F,Frühschicht
2026-03-02,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-03-02,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-02,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-02,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-03-02,Team 3,Maria Lange,PN015,S,Spätschicht
2026-03-02,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-03,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-03,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-03,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-03,Team 1,Peter Weber,PN003,F,Frühschicht
2026-03-03,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-03,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-03,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-03,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-03-03,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-03,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-04,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-04,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-04,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-04,Team 1,Peter Weber,PN003,F,Frühschicht
2026-03-04,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-03-04,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-04,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-04,Team 3,Maria Lange,PN015,S,Spätschicht
2026-03-04,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-04,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-05,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-05,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-05,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-05,Team 1,Peter Weber,PN003,F,Frühschicht
2026-03-05,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-03-05,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-05,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-03-05,Team 3,Maria Lange,PN015,S,Spätschicht
2026-03-05,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-05,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-06,Team 1,Robert Franke,PN005,F,Frühschicht
2026-03-06,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-06,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-06,Team 1,Peter Weber,PN003,F,Frühschicht
2026-03-06,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-03-06,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-03-06,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-06,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-06,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-03-06,Team 3,Maria Lange,PN015,S,Spätschicht
2026-03-06,Team 3,Markus Richter,PN011,S,Spätschicht
2026-03-06,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-03-07,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-03-07,Team 1,Max Müller,PN001,F,Frühschicht
2026-03-07,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-03-07,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-03-07,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-03-07,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-07,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-03-07,Team 3,Maria Lange,PN015,S,Spätschicht
2026-03-08,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-03-08,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-03-08,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-03-08,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-08,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-08,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-09,Team 1,Max Müller,PN001,N,Nachtschicht
2026-03-09,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-03-09,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-03-09,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-09,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-03-09,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-09,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-09,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-09,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-09,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-10,Team 1,Max Müller,PN001,N,Nachtschicht
2026-03-10,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-03-10,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-10,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-03-10,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-10,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-10,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-10,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-10,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-11,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-11,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-03-11,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-11,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-11,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-11,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-11,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-12,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-03-12,Team 2,Julia Becker,PN006,S,Spätschicht
2026-03-12,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-03-12,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-03-12,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-12,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-12,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-12,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-13,Team 1,Max Müller,PN001,N,Nachtschicht
2026-03-13,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-03-13,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-03-13,Team 2,Julia Becker,PN006,S,Spätschicht
2026-03-13,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-13,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-03-13,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-13,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-13,Team 3,Markus Richter,PN011,F,Frühschicht
2026-03-13,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-03-14,Team 1,Max Müller,PN001,N,Nachtschicht
2026-03-14,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-03-14,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-03-14,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-03-14,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-03-14,Team 3,Maria Lange,PN015,F,Frühschicht
2026-03-15,Team 1,Anna Schmidt,PN002,S,Spätschicht
